scenario,rmse_mean,rmse_std,max_error_mean,max_error_std,trials
nominal,1.4782602816946957,0.0,3.551955064302791,4.440892098500626e-16,5
heavy_payload,0.38601598942192916,0.0,0.9677834117155937,0.0,5
light_payload,2.2138291610121525,0.0,3.07884455972912,0.0,5
damaged_motor,1.5566796724683403,0.0,2.542247926494722,0.0,5
strong_wind,115.62481946473444,1.4210854715202004e-14,223.69746516110928,2.842170943040401e-14,5
combined_worst,58.385960777195876,0.0,105.46625735527873,1.4210854715202004e-14,5
critical_motor_failure,8.758155234804235,0.0,14.231530301366638,0.0,5
