scenario,rmse_mean,rmse_std,max_error_mean,max_error_std,trials
nominal,0.35083136605811754,0.0,1.9668298277315117,2.220446049250313e-16,5
heavy_payload,0.3739866922801588,0.0,1.9677834117155935,2.220446049250313e-16,5
light_payload,0.3357807220535624,0.0,1.9653994820671101,0.0,5
damaged_motor,14.142700449427267,0.0,18.083631868874427,0.0,5
strong_wind,64.0015403253599,0.0,118.77002577775882,0.0,5
combined_worst,28.91495344032132,3.552713678800501e-15,57.14371690452411,7.105427357601002e-15,5
critical_motor_failure,12.646150790575133,0.0,18.014687871981792,0.0,5
